Date,Open,High,Low,Close,Adj Close,Volume
2017-10-13,38.709999,38.970001,38.439999,38.720001,38.720001,13047400
2017-10-16,40.139999,40.150002,38.959999,39.669998,39.669998,19939400
2017-10-17,39.950001,40.150002,39.369999,39.590000,39.590000,12073600
2017-10-18,40.000000,40.770000,39.570000,40.320000,40.320000,19064600
2017-10-19,39.799999,40.180000,39.209999,39.380001,39.380001,16381200
2017-10-20,39.700001,39.750000,38.689999,39.000000,39.000000,20233500
2017-10-23,39.150002,39.200001,38.330002,38.430000,38.430000,13575900
2017-10-24,38.660000,38.814999,38.459999,38.520000,38.520000,11847100
2017-10-25,38.549999,38.970001,37.130001,37.400002,37.400002,22016400
2017-10-26,37.560001,37.680000,36.709999,36.810001,36.810001,19145500
2017-10-27,37.009998,37.470001,35.790001,37.360001,37.360001,23630700
2017-10-30,37.810001,37.869999,36.939999,37.419998,37.419998,15653100
2017-10-31,37.840000,38.029999,37.275002,37.520000,37.520000,13581700
2017-11-01,38.000000,38.310001,37.720001,37.860001,37.860001,15800100
2017-11-02,38.240002,38.669998,37.665001,37.880001,37.880001,17726800
2017-11-03,38.400002,38.610001,38.209999,38.419998,38.419998,15409200
2017-11-06,39.009998,39.180000,38.599998,39.009998,39.009998,14493500
2017-11-07,39.689999,39.900002,39.090000,39.790001,39.790001,14580100
2017-11-08,39.910000,40.830002,39.849998,40.330002,40.330002,17107200
2017-11-09,40.189999,40.220001,38.889999,39.799999,39.799999,16914800
2017-11-10,39.830002,40.400002,39.169998,39.959999,39.959999,16749800
