Date,Open,High,Low,Close,Adj Close,Volume
2016-12-08,101.470001,103.959999,101.470001,103.379997,101.797714,16524800
2016-12-09,103.489998,105.519997,103.180000,104.860001,103.255058,12173900
2016-12-12,104.610001,104.699997,103.730003,104.059998,102.467308,7880200
2016-12-13,104.199997,104.309998,103.709999,103.849998,102.260521,7393200
2016-12-14,103.620003,104.410004,103.500000,104.050003,102.457458,7961900
2016-12-15,103.849998,105.639999,103.820000,104.389999,102.792252,8745400
2016-12-16,104.709999,104.730003,103.750000,103.910004,102.319603,11399500
2016-12-19,105.699997,106.260002,105.070000,105.300003,103.688332,11475600
2016-12-20,105.639999,106.199997,105.059998,105.459999,103.845879,8947300
2016-12-21,104.610001,105.910004,104.510002,105.559998,103.944344,5202400
2016-12-22,104.959999,105.489998,104.699997,105.419998,103.806488,5230800
2016-12-23,105.239998,105.339996,104.750000,105.150002,103.540627,3231000
2016-12-27,104.849998,105.559998,104.779999,105.169998,103.560310,3639500
2016-12-28,104.989998,105.320000,104.059998,104.300003,102.703629,5178600
2016-12-29,104.230003,104.769997,103.870003,104.559998,102.959648,5892000
2016-12-30,104.570000,105.000000,103.959999,104.220001,102.624855,6983300
2017-01-03,105.300003,106.900002,105.209999,106.080002,104.456390,8884300
2017-01-04,106.639999,107.500000,106.250000,107.440002,105.795570,8322000
2017-01-05,107.169998,107.620003,106.790001,107.379997,105.736488,6303000
2017-01-06,108.019997,109.349998,107.750000,108.980003,107.312004,9551300
2017-01-09,108.580002,108.830002,108.110001,108.360001,106.701492,6193400
2017-01-10,107.900002,108.820000,107.349998,108.379997,106.721184,7901900
2017-01-11,108.540001,109.489998,108.379997,109.440002,107.764969,7616800
2017-01-12,108.120003,109.000000,107.430000,107.529999,105.884193,8218900
2017-01-13,107.160004,108.349998,106.900002,108.059998,106.406082,6489000
2017-01-17,107.910004,108.930000,107.650002,107.970001,106.317459,7583100
2017-01-18,106.930000,108.400002,106.809998,108.160004,106.504555,7162900
2017-01-19,107.919998,108.010002,107.080002,107.279999,105.638016,5350200
2017-01-20,107.349998,107.820000,107.180000,107.660004,106.012207,5649000
2017-01-23,107.339996,107.680000,106.570000,107.120003,105.480476,5716600
2017-01-24,107.199997,108.059998,107.080002,107.900002,106.248535,5456100
2017-01-25,108.230003,108.419998,108.000000,108.040001,106.386391,6180200
2017-01-26,108.209999,108.620003,107.980003,108.059998,106.406082,6088100
2017-01-27,108.489998,109.400002,108.150002,109.300003,107.627106,5578300
2017-01-30,109.860001,111.050003,108.959999,110.940002,109.242004,13793600
